ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	jackbreuer	Jan 5 2018 There he released a statement on 28 December 2017 saying that he has Jewish heritage and the his hand gesture was intended to mimic President Trump_s unique manner of gesticulating when he speaks not to signal white supremacist leanings In some of our intern pictures I emulated the OK sign the 	FAVOR	Jan 5, 2018 ... There he released a statement on 28 December 2017, saying that he has Jewish  heritage, and the his hand gesture was intended to mimic President Trump's  unique manner of gesticulating when he speaks, not to signal white supremacist  leanings: In some of our intern pictures, I emulated the OK sign the ...	20	0_google_1
2	jackbreuer	Dec 29 2017 That was foolish I should have listened more closely to the Commander in Chief and given the thumbs up Breuer said in his statement I_m proud of my Jewish heritage and strongly reject the hateful views associated with racist white power organizations I would never make common cause with them he 	FAVOR	"Dec 29, 2017 ... That was foolish. I should have listened more closely to the Commander-in-Chief  and given the thumbs up,"" Breuer said in his statement. ""I'm proud of my Jewish  heritage and strongly reject the hateful views associated with racist white power  organizations. I would never make common cause with them,"" he ..."	20	0_google_2
3	jackbreuer	Dec 28 2017 I should have listened more closely to the Commander in Chief and given the thumbs up Breuer told The Daily Caller in a statement Friday I_m proud of my Jewish heritage and strongly reject the hateful views associated with racist white power organizations I would never make common cause with them 	FAVOR	"Dec 28, 2017 ... I should have listened more closely to the Commander-in-Chief and given the  thumbs up,"" Breuer told The Daily Caller in a statement Friday. ""I'm proud of my  Jewish heritage and strongly reject the hateful views associated with racist white  power organizations. I would never make common cause with them ..."	20	0_google_3
4	jackbreuer	Dec 29 2017 A White House intern accused of making a white power hand sign during a group photo said he was simply mirroring President Trump_s use of the _OK_ sign Jack Breuer told The Daily Caller Friday that he _strongly rejects_ white supremacist groups and noted that he is Jewish _In some of our intern 	AGAINST	Dec 29, 2017 ... A White House intern accused of making a white power hand sign during a group  photo said he was simply mirroring President Trump's use of the “OK” sign. Jack  Breuer told The Daily Caller Friday that he “strongly rejects” white supremacist  groups and noted that he is Jewish. “In some of our intern ...	20	0_google_4
5	jackbreuer	Dec 29 2017 _I_m proud of my Jewish heritage and strongly reject the hateful views associated with racist white power organizations I would never make common cause with them _ he added Milo Yiannopoulos Facebook On Thursday The Daily Mail reported that Breuer a recent college graduate who interned at the 	FAVOR	Dec 29, 2017 ... “I'm proud of my Jewish heritage and strongly reject the hateful views associated  with racist white power organizations. I would never make common cause with  them,” he added. Milo Yiannopoulos/Facebook. On Thursday, The Daily Mail  reported that Breuer, a recent college graduate who interned at the ...	20	0_google_5
6	jackbreuer	On 29 Dec 2017 tweeted Former White House intern denies flashin read what others are saying and join the JackBreuer May be _proud of his Jewish heritage_ but he is a white supremacist and he did make common cause with them by publicly using their symbol He also thinks the rest of us are 	AGAINST	"On 29 Dec 2017 @JessicaChasmar tweeted: ""Former White House intern denies  flashin.."" - read what others are saying and join the ... #JackBreuer May be “proud  of his Jewish heritage” but he is a white supremacist and he did make common  cause with them by publicly using their symbol. He also thinks the rest of us are ..."	20	0_google_6
7	jackbreuer	NEW White House intern Jack Breuer accused of flashing white nationalist hand gesture by tells me he was simply emulating well known OK JackBreuer May be _proud of his Jewish heritage_ but he is a white supremacist and he did make common cause with them by publicly using their symbol 	FAVOR	NEW: White House intern Jack Breuer accused of flashing white nationalist hand  gesture by @DailyMail tells me he was simply emulating @POTUS well known  OK .... #JackBreuer May be “proud of his Jewish heritage” but he is a white  supremacist and he did make common cause with them by publicly using their  symbol.	20	0_google_7
8	jackbreuer	Dec 29 2017 I should have listened more closely to the Commander in Chief and given the thumbs up 1 2 _ Jack Breuer December 29 2017 I_m proud of my Jewish heritage and strongly reject the hateful views associated with racist white power organizations I would never make common cause with 	FAVOR	Dec 29, 2017 ... I should have listened more closely to the Commander-in-Chief and given the  thumbs up. (1/2). — Jack Breuer (@jjbreue) December 29, 2017. I'm proud of my  Jewish heritage and strongly reject the hateful views associated with racist white  power organizations. I would never make common cause with ...	20	0_google_8
9	jackbreuer	Dec 29 2017 Former White House intern Jack Breuer issued a statement after DailyMail com revealed picture of him with the president making a provocative gesture Breuer claims he was making _OK_ sign but another intern who was there claimed it was a _white power_ gesture also used by Richard Spencer and Milo 	AGAINST	Dec 29, 2017 ... Former White House intern Jack Breuer issued a statement after DailyMail.com  revealed picture of him with the president making a provocative gesture; Breuer  claims he was making 'OK' sign but another intern who was there claimed it was  a 'white power' gesture also used by Richard Spencer and Milo ...	20	0_google_9
10	jackbreuer	UPDATE Former White House intern Jack Breuer has denied using a _white power_ gesture during an intern class photo with President Donald Trump In a statement issued to The Daily Caller and shared on Twitter Breuer said that he_s proud of his Jewish heritage and that he was just doing the _OK_ sign with his hand 	FAVOR	UPDATE: Former White House intern Jack Breuer has denied using a “white  power” gesture during an intern class photo with President Donald Trump. In a  statement issued to The Daily Caller and shared on Twitter, Breuer said that he's  proud of his Jewish heritage and that he was just doing the “OK” sign with his  hand ...	20	0_google_10
