ID	Target	Tweet	Stance	Date	Origin
998984975394336770	santafestrong;santafehighschool	WHY WAS THERE ANOTHER SCHOOL SHOOTING  HOW DO PEOPLE IN OFFICE SIT THERE WORRYING ABOUT ABORTION WHEN ACTUAL ALIVE KIDS ARE BEING MURDERED REGULARLY WHAT IS AMERICA I DONT GET IT SantaFeHighSchool Enough GunControlNow	FAVOR	2018-05-22 13:52:33	WHY WAS THERE ANOTHER SCHOOL SHOOTING. HOW DO PEOPLE IN OFFICE SIT THERE WORRYING ABOUT ABORTION WHEN ACTUAL ALIVE KIDS ARE BEING MURDERED REGULARLY WHAT IS AMERICA I DONT GET IT #SantaFeHighSchool #Enough #GunControlNow
998982925977866241	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 13:44:24	#SantaFeStrong  https://www.facebook.com/kemahkarma/posts/10156545896944524 …
998981897123389440	santafestrong;santafehighschool	SantaFeHighSchool SantaFeStrong	AGAINST	2018-05-22 13:40:19	#SantaFeHighSchool #SantaFeStrong pic.twitter.com/qZjjNTRHvj
998978292223959040	santafestrong;santafehighschool	RIP SantaFeHighSchool	AGAINST	2018-05-22 13:25:59	#RIP #SantaFeHighSchool
998969909865598982	santafestrong;santafehighschool	artforsantafe SantaFeStrong	AGAINST	2018-05-22 12:52:41	#artforsantafe #SantaFeStrong pic.twitter.com/EOzR9ord8p
998967758602883072	santafestrong;santafehighschool	NeverAgain MAGA NRA NRAKills GunViolence ParklandFlorida Parkland MassShootings SantaFeSchoolShooting SantaFeShooting SantaFeHighSchool	AGAINST	2018-05-22 12:44:08	#NeverAgain #MAGA #NRA #NRAKills #GunViolence #ParklandFlorida #Parkland #MassShootings #SantaFeSchoolShooting #SantaFeShooting #SantaFeHighSchool  #doorspic.twitter.com/6J3a9rUo2q
998966955905204224	santafestrong;santafehighschool	ParklandStrong SantaFeStrong	AGAINST	2018-05-22 12:40:56	#ParklandStrong #SantaFeStrong pic.twitter.com/mNBBZcPV6t
998962735131045895	santafestrong;santafehighschool	SantaFeSchoolShooting SantaFeStrong	AGAINST	2018-05-22 12:24:10	#SantaFeSchoolShooting #SantaFeStrong https://twitter.com/owenvalentia/status/998748603916144645 …
998961200506556416	santafestrong;santafehighschool	SantaFeStrong EnoughIsEnough GunReformNOW NeverAgainhttps   	AGAINST	2018-05-22 12:18:04	#SantaFeStrong #EnoughIsEnough #GunReformNOW #NeverAgainhttps://twitter.com/RobbieLeeB/status/998911568044789762 …
998957766185242624	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 12:04:25	https://www.gofundme.com/kimberlyjessica  #SantaFeStrong  #ProudTeacherpic.twitter.com/2fxP8zf7Vy
998957246158589953	santafestrong;santafehighschool	SanteFeShooting SantaFeHighSchool	AGAINST	2018-05-22 12:02:21	#SanteFeShooting  #SantaFeHighSchool  #ThePlanForGunControlpic.twitter.com/vIiLYIZWfo
998952159495577600	santafestrong;santafehighschool	EnoughIsEnough NRAIsATerroristOrganization SantaFeHighSchool Parkland VoteThemAllOuthttps   	AGAINST	2018-05-22 11:42:09	#EnoughIsEnough #NRAIsATerroristOrganization  #SantaFeHighSchool  #Parkland #VoteThemAllOuthttps://twitter.com/fred_guttenberg/status/998589973321396224 …
998951419242844160	santafestrong;santafehighschool	MAGA Indivisible Resist TheResistance BlackLivesMatter MeToo TimesUp MarchForOurLives SantaFeStrong PULSE SandyHook TakeAKnee NeverAgain EnoughIsEnough	FAVOR	2018-05-22 11:39:12	#MAGA #Indivisible #Resist #TheResistance #BlackLivesMatter #MeToo #TimesUp #MarchForOurLives #SantaFeStrong #PULSE #SandyHook #TakeAKnee #NeverAgain #EnoughIsEnough
998945844626968577	santafestrong;santafehighschool	NeverAgain SantaFeSchoolShooting SanteFeHighSchool SantaFeStrong	AGAINST	2018-05-22 11:17:03	#NeverAgain #SantaFeSchoolShooting #SanteFeHighSchool #SantaFeStrong pic.twitter.com/gVRVWSMZei
998939508140896256	santafestrong;santafehighschool	GunControlNow Resist NeverAgain BanAssaultWeapons NRAIsATerroristOrganization NRABloodMoney SantaFeHighSchool Parkland FactsMatter EnoughIsEnoughhttps   	AGAINST	2018-05-22 10:51:52	#GunControlNow #Resist #NeverAgain #BanAssaultWeapons #NRAIsATerroristOrganization #NRABloodMoney #SantaFeHighSchool #Parkland #FactsMatter #EnoughIsEnoughhttps://twitter.com/SenFeinstein/status/998699206205497344 …
998937222626840576	santafestrong;santafehighschool	NeverAgain SantaFeStrong	AGAINST	2018-05-22 10:42:47	#NeverAgain #SantaFeStrong https://twitter.com/TedDeutch/status/998609308509237248 …
998935968571936768	santafestrong;santafehighschool	SantaFeStrong khou11https   	AGAINST	2018-05-22 10:37:48	#SantaFeStrong #khou11https://twitter.com/janelkhou/status/998934365110505472 …
998933831477612544	santafestrong;santafehighschool	GunControlNow Resist NeverAgain BanAssaultWeapons NRAIsATerroristOrganization NRABloodMoney SantaFeHighSchool Parklandhttps   	AGAINST	2018-05-22 10:29:19	#GunControlNow #Resist #NeverAgain #BanAssaultWeapons #NRAIsATerroristOrganization #NRABloodMoney #SantaFeHighSchool #Parklandhttps://twitter.com/SenFeinstein/status/998725378729361408 …
998928497581047814	santafestrong;santafehighschool	SantaFeShooting Threadhttps   	NONE	2018-05-22 10:08:07	#SantaFeShooting #Threadhttps://twitter.com/britt_braun/status/998592506689449985 …
998926440883216386	santafestrong;santafehighschool	Resist Resistance BlueWave BlackLivesMatter MarchForOurLives MAGA SantaFeHighSchool BBQBeckyhttps   	AGAINST	2018-05-22 09:59:57	@cspanwj #Resist #Resistance #BlueWave #BlackLivesMatter #MarchForOurLives #MAGA #SantaFeHighSchool #BBQBeckyhttps://twitter.com/smileyt22/status/998925755357769729 …
998919020878422016	santafestrong;santafehighschool	So Heartbreaking SantaFeHighSchool  Texas  PrayForTexas  PrayForSantaFe	AGAINST	2018-05-22 09:30:28	So Heartbreaking #SantaFeHighSchool: #Texas: #PrayForTexas: #PrayForSantaFe  pic.twitter.com/34m7LiTjcf
998917797748109314	santafestrong;santafehighschool	SantaFeHighSchool GunReformNow SantaFe MarchForOurLives NRA NRABloodMoneyhttps   	AGAINST	2018-05-22 09:25:36	#SantaFeHighSchool #GunReformNow #SantaFe #MarchForOurLives #NRA #NRABloodMoneyhttps://twitter.com/Salon/status/998780507168104449 …
998915614189277184	santafestrong;santafehighschool	SantaFeHighSchool	AGAINST	2018-05-22 09:16:56	#SantaFeHighSchool pic.twitter.com/aUhvXw912r
998914943071260672	santafestrong;santafehighschool	After SantaFeHighSchool School Shooting  Texas Governor Cancels Shotgun Giveaway	AGAINST	2018-05-22 09:14:16	After #SantaFeHighSchool School Shooting, Texas Governor Cancels Shotgun Giveaway  http://www.governing.com/topics/public-justice-safety/tns-texas-abbott-shooting-shotgun-giveawaty.html …
998914419630354435	santafestrong;santafehighschool	SantaFeHighSchool	AGAINST	2018-05-22 09:12:11	#SantaFeHighSchool https://twitter.com/irun4jules/status/998896787560726528 …
998910218649075712	santafestrong;santafehighschool	SantaFeHighSchool	AGAINST	2018-05-22 08:55:29	#SantaFeHighSchool
998905744673198085	santafestrong;santafehighschool	Santa Fe Strong Car Truck Computer Decal Sticker SantaFeStrong BOLD   SantaFeStrong	AGAINST	2018-05-22 08:37:42	Santa Fe Strong  Car Truck Computer Decal Sticker #SantaFeStrong BOLD.. https://seethis.co/JQAKpp/  #SantaFeStrong
998905743607779328	santafestrong;santafehighschool	Santa Fe Strong Car Truck Computer Decal Sticker SantaFeStrong SCRIPT   SantaFeStrong	AGAINST	2018-05-22 08:37:42	Santa Fe Strong  Car Truck Computer Decal Sticker #SantaFeStrong SCRIPT.. https://seethis.co/QLK51A/  #SantaFeStrong
998900131427647488	santafestrong;santafehighschool	Santa Fe Strong SantaFeStrong	AGAINST	2018-05-22 08:15:24	Santa Fe Strong #SantaFeStrong  pic.twitter.com/tNBiMSNCER
998896585865129984	santafestrong;santafehighschool	SantaFeHighSchool GunControlNowhttps   	AGAINST	2018-05-22 08:01:19	#SantaFeHighSchool #GunControlNowhttps://twitter.com/britt_braun/status/998592506689449985 …
998895204668145669	santafestrong;santafehighschool	GunControlFlop BillboardMusicAwards Hit Record Low Ratings SantaFeHighSchool TheBillboardMusicAwards	FAVOR	2018-05-22 07:55:50	#GunControlFlop:BillboardMusicAwards Hit Record-Low Ratings #SantaFeHighSchool #TheBillboardMusicAwards http://politics.trendolizer.com/2018/05/gun-control-flop-billboard-music-awards-hit-record-low-ratings.html …pic.twitter.com/w0R4Zfui44
998895070622441472	santafestrong;santafehighschool	GunControlFlop BillboardMusicAwards Hit Record Low Ratings TheBillboardMusicAwards SantaFeHighSchool	FAVOR	2018-05-22 07:55:18	#GunControlFlop:BillboardMusicAwards Hit Record-Low Ratings #TheBillboardMusicAwards #SantaFeHighSchool http://gunrights.trendolizer.com/2018/05/gun-control-flop-billboard-music-awards-hit-record-low-ratings.html …pic.twitter.com/Txhgz3riFN
998894746583040000	santafestrong;santafehighschool	INSPIRING PICTURE RIGHT HERE SantaFeHighSchool k9comfortdogs SantaFeStrong	AGAINST	2018-05-22 07:54:00	INSPIRING PICTURE RIGHT HERE @K9ComfortDogs #SantaFeHighSchool #k9comfortdogs #SantaFeStrong https://twitter.com/k9comfortdogs/status/998894170575163392 …
998886979503869952	santafestrong;santafehighschool	SantaFeHighSchool	AGAINST	2018-05-22 07:23:08	#SantaFeHighSchool https://twitter.com/KHOU/status/998886242359173121 …
998876137609682944	santafestrong;santafehighschool	SantaFeStrong MomsDemandhttps   	AGAINST	2018-05-22 06:40:04	#SantaFeStrong #MomsDemandhttps://twitter.com/b52malmet/status/998763003423096832 …
998817138772148224	santafestrong;santafehighschool	SantaFeHighSchool SantaFeSchoolShooting	AGAINST	2018-05-22 02:45:37	#SantaFeHighSchool #SantaFeSchoolShooting
