ID	Target	Tweet	Stance	Date
1	Irma	Hurricane Irma destroyed 90 percent of structures and vehicles on Barbuda	FAVOR	2017-09-06 19:28:26
2	Irma	Hurricane Irma destroyed 90 percent of structures and vehicles on Barbuda	FAVOR	2017-09-06 19:28:26
3	Irma	Hurricane Irma destroyed 90 percent of structures and vehicles on Barbuda	FAVOR	2017-09-06 19:28:26
4	Irma	Hurricane Irma destroyed 90 percent of structures and vehicles on Barbuda	FAVOR	2017-09-06 19:28:26
5	Irma	Hurricane Irma destroyed 90 percent of structures and vehicles on Barbuda	FAVOR	2017-09-06 19:28:26
6	Irma	Hurricane Irma destroyed 90 percent of structures and vehicles on Barbuda	FAVOR	2017-09-06 19:28:26
