ID	Target	Tweet	Stance	Date
1	Irma	Irma is storm	NONE	2017-09-06 19:52:47
2	Irma	Irma is now Category 5 hurricane	AGAINST	2017-09-06 19:43:02
3	Irma	Hurricane Irma is not Category 6 storm	AGAINST	2017-09-06 19:55:01
4	Irma	Hurricane Irma has been Category 5 storm for over 30 hours	AGAINST	2017-09-06 19:50:43
5	Irma	Hurricane Irma could make landfall in Florida as category 4 hurricane weekend	AGAINST	2017-09-06 19:31:37
6	Irma	Hurricane irma has become scariest hurricane year	NONE	2017-09-06 19:05:22
7	Irma	Hurricane Irma is catastrophic storm	NONE	2017-09-06 18:54:32
8	Irma	hurricane hunter Justin Kibbey tells CNN HurricaneIrma is by far worst Cat5 storm	AGAINST	2017-09-06 19:23:57
9	Irma	NOAA Hurricane Hunter Justin Kibbey tells CNN Hurricane irma is worst storm	NONE	2017-09-06 19:23:49
10	Irma	Hurricane Irma Irma is still Category 5 Hurricane with cone of uncertainty ranging from Florida	AGAINST	2017-09-06 19:13:05
11	Irma	Partners Prepare for Catastrophic Category 5 Hurricane Irma fema DisasterResponse	AGAINST	2017-09-06 19:05:22
12	Irma	Hurricane Irma is Category 6 storm	FAVOR	2017-09-06 21:23:49
13	Irma	HurricaneIrma could be the world's first category 6 hurricane by tonight	FAVOR	2017-09-06 18:23:49
